ticket,type,entry_time,exit_time,entry_price,exit_price,pnl,exit_reason,magic,basket_layers
1,BUY,2026-05-08 18:46:00,2026-05-08 18:47:00,80171.44,80204.21,1.8162000000002445,Basket TP,20260523,1
2,BUY,2026-05-08 19:52:00,2026-05-08 19:53:00,80036.73,80056.73,1.05,Basket TP,20260523,1
3,BUY,2026-05-08 20:16:00,2026-05-08 20:17:00,79772.42,79792.42,1.05,Basket TP,20260523,1
4,BUY,2026-05-08 20:20:00,2026-05-08 20:32:00,79752.25,79722.25,-1.9499999999999997,Basket TP,20260524,2
5,BUY,2026-05-08 20:26:00,2026-05-08 20:32:00,79652.25,79722.25,4.05,Basket TP,20260524,2
6,BUY,2026-05-08 20:35:00,2026-05-08 20:36:00,79774.31,79794.31,1.05,Basket TP,20260524,1
7,BUY,2026-05-08 20:37:00,2026-05-08 20:38:00,79786.58,79806.58,1.05,Basket TP,20260524,1
8,BUY,2026-05-08 20:39:00,2026-05-08 21:00:00,79802.77,79717.29666666666,-5.2784000000005475,Basket TP,20260524,3
9,BUY,2026-05-08 20:40:00,2026-05-08 21:00:00,79686.35,79717.29666666666,1.7067999999993482,Basket TP,20260524,3
10,BUY,2026-05-08 20:40:00,2026-05-08 21:00:00,79602.77,79717.29666666666,6.7215999999994525,Basket TP,20260524,3
11,SELL,2026-05-08 21:07:00,2026-05-08 21:08:00,79895.86,79869.52,1.4303999999997905,Basket TP,20260523,1
12,SELL,2026-05-08 21:18:00,2026-05-08 21:22:00,80025.67,80240.8925,-13.06335000000021,Basket TP,20260523,4
13,SELL,2026-05-08 21:19:00,2026-05-08 21:22:00,80339.3,80240.8925,5.75445000000007,Basket TP,20260523,4
14,SELL,2026-05-08 21:19:00,2026-05-08 21:22:00,80339.3,80240.8925,5.75445000000007,Basket TP,20260523,4
15,SELL,2026-05-08 21:19:00,2026-05-08 21:22:00,80339.3,80240.8925,5.75445000000007,Basket TP,20260523,4
16,SELL,2026-05-08 21:23:00,2026-05-08 21:24:00,80231.41,80185.35,2.6135999999998605,Basket TP,20260523,1
17,SELL,2026-05-08 21:25:00,2026-05-08 21:26:00,80239.65,80219.65,1.05,Basket TP,20260524,1
18,SELL,2026-05-08 21:27:00,2026-05-08 21:28:00,80186.88,80166.88,1.05,Basket TP,20260524,1
19,SELL,2026-05-08 21:29:00,2026-05-08 21:30:00,80153.95,80054.32,5.827799999999406,Basket TP,20260524,1
20,BUY,2026-05-08 22:28:00,2026-05-08 22:29:00,79663.23,79683.23,1.05,Basket TP,20260523,1
21,BUY,2026-05-08 23:42:00,2026-05-08 23:43:00,79746.23,79785.59,2.211600000000035,Basket TP,20260523,1
22,BUY,2026-05-09 03:58:00,2026-05-09 03:59:00,80103.99,80125.07,1.1148000000001048,Basket TP,20260523,1
23,BUY,2026-05-09 06:17:00,2026-05-09 06:18:00,80170.73,80223.72,3.0294000000003143,Basket TP,20260523,1
24,BUY,2026-05-09 10:44:00,2026-05-09 10:45:00,80328.49,80349.96,1.1382000000000698,Basket TP,20260523,1
25,BUY,2026-05-09 11:46:00,2026-05-09 11:51:00,80442.16,80462.16,1.05,Basket TP,20260523,1
26,BUY,2026-05-09 13:48:00,2026-05-09 17:39:00,80249.3,80270.4,25.380999999989434,Basket TP,20260523,1
27,BUY,2026-05-09 21:30:00,2026-05-09 21:43:00,80310.35,80330.35,1.05,Basket TP,20260523,1
28,BUY,2026-05-10 03:17:00,2026-05-10 03:44:00,80830.23,80800.23,-1.9499999999999997,Basket TP,20260523,2
29,BUY,2026-05-10 03:34:00,2026-05-10 03:44:00,80730.23,80800.23,4.05,Basket TP,20260523,2
30,BUY,2026-05-10 05:34:00,2026-05-10 05:35:00,80691.82,80741.49,2.8301999999998952,Basket TP,20260523,1
