open_date,max_layers,basket_count
2018-02-09,1,1
2018-02-11,1,1
2018-02-12,2,1
2018-02-15,1,2
2018-02-16,3,15
2018-02-17,2,18
2018-02-18,11,10
2018-02-19,4,15
2018-02-20,2,12
2018-02-21,8,22
2018-03-01,1,14
2018-03-02,3,13
2018-03-03,1,9
2018-03-04,3,11
2018-03-05,2,1
2018-03-12,3,8
2018-03-13,2,16
2018-03-14,1,16
2018-03-15,4,11
2018-03-16,1,24
2018-03-17,1,9
2018-03-18,2,14
2018-03-19,16,3
2018-04-03,4,3
2018-04-11,1,4
2018-04-12,30,3
2018-05-03,1,7
2018-05-04,2,13
2018-05-05,1,11
2018-05-06,3,11
2018-05-07,5,3
2018-05-08,5,7
2018-05-09,1,3
2018-05-10,1,4
2018-05-11,2,12
2018-05-12,2,8
2018-05-13,2,12
2018-05-14,2,12
2018-05-15,1,14
2018-05-16,3,6
2018-05-17,1,12
2018-05-18,1,7
2018-05-19,2,5
2018-05-20,3,3
2018-05-21,15,6
2018-06-03,1,3
2018-06-04,4,3
2018-06-05,1,1
2018-06-06,1,8
2018-06-07,2,5
2018-06-08,2,2
2018-06-09,16,2
2018-06-22,10,1
2018-06-24,1,1
2018-06-25,3,4
2018-06-26,1,5
2018-06-27,1,6
2018-06-28,1,2
2018-06-29,10,6
2018-07-18,2,8
2018-07-19,2,4
2018-07-20,1,8
2018-07-21,3,4
2018-07-22,1,8
2018-07-23,1,5
2018-07-24,1,8
2018-07-25,4,7
2018-07-26,2,6
2018-07-27,4,1
2018-07-28,2,6
2018-07-29,2,7
2018-07-30,3,4
2018-07-31,23,2
2018-08-22,5,2
2018-08-30,2,3
2018-08-31,2,2
2018-09-01,1,7
2018-09-02,1,7
2018-09-03,1,3
2018-09-04,1,4
2018-09-05,13,2
2018-10-15,1,7
2018-10-16,2,2
2018-10-17,1,1
2018-10-18,4,1
2018-11-07,11,2
2018-11-15,3,8
2018-11-16,2,3
2018-11-17,2,4
2018-11-19,1,6
2018-11-20,3,16
2018-11-21,3,12
2018-11-22,1,13
2018-11-23,2,8
2018-11-24,1,7
2018-11-25,4,6
2018-11-26,4,8
2018-11-27,1,10
2018-11-28,7,3
2018-11-30,1,1
2018-12-01,4,3
2018-12-03,1,6
2018-12-04,2,4
2018-12-05,1,7
2018-12-06,1,9
2018-12-07,1,8
2018-12-08,3,2
