ticket,type,entry_time,exit_time,entry_price,exit_price,pnl,exit_reason,magic,basket_layers
1,BUY,2023-07-16 08:38:00,2023-07-16 09:37:00,30268.25,30198.58,-5.5768999999998785,Basket TP,20260523,3
2,BUY,2023-07-16 09:15:00,2023-07-16 09:37:00,30168.25,30198.58,1.4231000000001224,Basket TP,20260523,3
3,BUY,2023-07-16 09:21:00,2023-07-16 09:37:00,30068.25,30198.58,8.423100000000124,Basket TP,20260523,3
4,SELL,2023-07-16 09:48:00,2023-07-16 09:49:00,30299.22,30267.94,1.489600000000173,Basket TP,20260523,1
5,SELL,2023-07-16 12:11:00,2023-07-17 01:39:00,30194.33,30246.57,-22.406399999999266,Basket TP,20260523,3
6,SELL,2023-07-16 13:51:00,2023-07-17 01:39:00,30294.33,30246.57,13.593600000000732,Basket TP,20260523,3
7,SELL,2023-07-16 21:25:00,2023-07-17 01:39:00,30394.33,30246.57,9.643200000000144,Basket TP,20260523,3
8,BUY,2023-07-17 01:41:00,2023-07-17 01:42:00,30270.85,30293.16,12.31000000000131,Basket TP,20260523,1
9,BUY,2023-07-17 01:45:00,2023-07-17 03:06:00,30309.71,30266.72,-52.98999999999796,Basket TP,20260524,2
10,BUY,2023-07-17 02:41:00,2023-07-17 03:06:00,30209.71,30266.72,47.01000000000204,Basket TP,20260524,2
11,SELL,2023-07-17 04:31:00,2023-07-17 05:00:00,30291.22,30271.44,9.780000000002474,Basket TP,20260523,1
12,BUY,2023-07-17 05:02:00,2023-07-17 05:04:00,30280.94,30298.81,0.5509000000001835,Basket TP,20260523,1
13,BUY,2023-07-17 06:24:00,2023-07-17 06:41:00,30278.35,30248.42,-2.7951000000000206,Basket TP,20260523,2
14,BUY,2023-07-17 06:31:00,2023-07-17 06:41:00,30178.35,30248.42,4.20489999999998,Basket TP,20260523,2
15,BUY,2023-07-17 06:42:00,2023-07-17 07:15:00,30250.03,30267.97,0.5558000000001629,Basket TP,20260524,1
16,SELL,2023-07-17 07:20:00,2023-07-17 07:22:00,30293.21,30270.71,0.8750000000000001,Basket TP,20260523,1
17,SELL,2023-07-17 08:37:00,2023-07-17 08:38:00,30313.64,30294.86,0.6145999999999187,Basket TP,20260523,1
18,BUY,2023-07-17 09:36:00,2023-07-17 10:52:00,30282.91,30301.01,0.5669999999998981,Basket TP,20260523,1
19,SELL,2023-07-17 17:51:00,2023-07-17 18:39:00,30127.6,30162.76,-3.1611999999999902,Basket TP,20260523,2
20,SELL,2023-07-17 18:12:00,2023-07-17 18:39:00,30227.6,30162.76,3.8388000000000106,Basket TP,20260523,2
21,SELL,2023-07-17 19:48:00,2023-07-17 19:50:00,30173.26,30153.99,0.6488999999997759,Basket TP,20260523,1
22,SELL,2023-07-17 20:28:00,2023-07-17 20:30:00,30234.39,30215.7,0.6082999999999085,Basket TP,20260523,1
23,SELL,2023-07-17 20:54:00,2023-07-17 20:55:00,30270.6,30263.49,-0.20230000000021392,Basket TP,20260523,1
24,SELL,2023-07-18 03:07:00,2023-07-18 03:30:00,29927.42,29916.34,1.0799999999981083,Basket TP,20260523,1
25,SELL,2023-07-18 04:07:00,2023-07-18 06:00:00,29951.8,30088.34,-146.54000000000087,Basket TP,20260523,4
26,SELL,2023-07-18 04:19:00,2023-07-18 06:00:00,30051.8,30088.34,-46.54000000000087,Basket TP,20260523,4
