open_date,max_layers,basket_count
2026-07-06,4,6
2026-07-07,1,5
2026-07-08,3,4
2026-07-09,3,5
2026-07-10,1,2
2026-07-11,1,1
2026-07-12,4,3
2026-07-13,1,7
2026-07-14,2,1
2026-07-15,1,6
2026-07-16,5,4
2026-07-17,3,4
2026-07-19,1,2
2026-07-20,3,3
2026-07-21,1,7
2026-07-22,2,1
2026-07-23,2,6
2026-07-24,1,2
2026-07-25,13,1
2026-07-28,2,6
2026-07-29,1,4
2026-07-30,1,3
2026-08-01,1,2
2026-08-02,4,1
2026-08-03,3,10
2026-08-04,2,5
2026-08-05,1,4
2026-08-06,1,5
2026-08-07,1,5
2026-08-08,1,2
2026-08-09,1,3
2026-08-10,4,5
2026-08-11,1,2
2026-08-12,5,4
2026-08-13,2,2
