ticket,type,entry_time,exit_time,entry_price,exit_price,pnl,exit_reason,magic,basket_layers
1,BUY,2026-07-06 04:15:00,2026-07-06 04:18:00,1771.42,1773.42,0.01,Basket TP,20260802,1
2,BUY,2026-07-06 04:19:00,2026-07-06 04:20:00,1774.25,1777.61,0.023599999999998997,Basket TP,20260802,1
3,BUY,2026-07-06 12:35:00,2026-07-06 12:36:00,1766.63,1768.83,0.11999999999998182,Basket TP,20260802,1
4,BUY,2026-07-06 12:37:00,2026-07-06 12:53:00,1770.55,1772.55,0.1,Basket TP,20260802,1
5,SELL,2026-07-06 17:45:00,2026-07-06 17:49:00,1770.54,1768.54,0.1,Basket TP,20260802,1
6,SELL,2026-07-06 22:50:00,2026-07-06 23:27:00,1772.82,1785.82,-1.4000000000000001,Basket TP,20260802,4
7,SELL,2026-07-06 22:51:00,2026-07-06 23:27:00,1782.82,1785.82,-0.4,Basket TP,20260802,4
8,SELL,2026-07-06 23:08:00,2026-07-06 23:27:00,1792.82,1785.82,0.6000000000000001,Basket TP,20260802,4
9,SELL,2026-07-06 23:19:00,2026-07-06 23:27:00,1802.82,1785.82,1.6,Basket TP,20260802,4
10,BUY,2026-07-07 09:35:00,2026-07-07 09:37:00,1778.72,1780.72,0.1,Basket TP,20260802,1
11,BUY,2026-07-07 09:38:00,2026-07-07 09:42:00,1780.18,1782.1800000000003,0.10000000000002274,Basket TP,20260802,1
12,BUY,2026-07-07 20:45:00,2026-07-07 20:46:00,1770.19,1775.07,0.38799999999998824,Basket TP,20260802,1
13,BUY,2026-07-07 20:47:00,2026-07-07 20:48:00,1777.2,1779.2000000000003,0.10000000000002274,Basket TP,20260802,1
14,BUY,2026-07-07 20:49:00,2026-07-07 20:50:00,1775.81,1777.8100000000002,0.10000000000002274,Basket TP,20260802,1
15,BUY,2026-07-08 02:25:00,2026-07-08 02:28:00,1779.96,1781.96,0.1,Basket TP,20260802,1
16,BUY,2026-07-08 02:29:00,2026-07-08 02:30:00,1782.32,1784.32,0.1,Basket TP,20260802,1
17,BUY,2026-07-08 08:45:00,2026-07-08 08:47:00,1757.79,1759.79,0.1,Basket TP,20260802,1
18,BUY,2026-07-08 08:48:00,2026-07-08 09:41:00,1760.2,1752.2,-0.9,Basket TP,20260802,3
19,BUY,2026-07-08 09:01:00,2026-07-08 09:41:00,1750.2,1752.2,0.1,Basket TP,20260802,3
20,BUY,2026-07-08 09:36:00,2026-07-08 09:41:00,1740.2,1752.2,1.1,Basket TP,20260802,3
21,SELL,2026-07-09 00:45:00,2026-07-09 00:46:00,1738.78,1736.78,0.1,Basket TP,20260802,1
22,SELL,2026-07-09 00:47:00,2026-07-09 00:52:00,1738.32,1736.32,0.1,Basket TP,20260802,1
23,SELL,2026-07-09 08:15:00,2026-07-09 08:16:00,1746.18,1744.18,0.1,Basket TP,20260802,1
24,SELL,2026-07-09 08:17:00,2026-07-09 08:30:00,1744.48,1742.48,0.1,Basket TP,20260802,1
25,SELL,2026-07-09 11:50:00,2026-07-09 17:52:00,1737.48,1745.4799999999998,-0.8999999999999773,Basket TP,20260802,3
26,SELL,2026-07-09 12:59:00,2026-07-09 17:52:00,1747.48,1745.4799999999998,0.10000000000002274,Basket TP,20260802,3
27,SELL,2026-07-09 14:01:00,2026-07-09 17:52:00,1757.48,1745.4799999999998,1.1000000000000227,Basket TP,20260802,3
28,SELL,2026-07-10 01:25:00,2026-07-10 01:26:00,1751.92,1749.92,0.1,Basket TP,20260802,1
29,SELL,2026-07-10 01:27:00,2026-07-10 01:53:00,1749.98,1747.98,0.1,Basket TP,20260802,1
30,BUY,2026-07-11 02:00:00,2026-07-11 02:09:00,1783.38,1785.38,0.1,Basket TP,20260802,1
31,BUY,2026-07-12 05:45:00,2026-07-12 08:32:00,1814.24,1801.24,-1.4000000000000001,Basket TP,20260802,4
32,BUY,2026-07-12 06:20:00,2026-07-12 08:32:00,1804.24,1801.24,-0.4,Basket TP,20260802,4
33,BUY,2026-07-12 06:26:00,2026-07-12 08:32:00,1794.24,1801.24,0.6000000000000001,Basket TP,20260802,4
34,BUY,2026-07-12 07:06:00,2026-07-12 08:32:00,1784.24,1801.24,1.6,Basket TP,20260802,4
35,BUY,2026-07-12 12:35:00,2026-07-12 12:38:00,1801.53,1803.5300000000002,0.10000000000002274,Basket TP,20260802,1
36,BUY,2026-07-12 12:39:00,2026-07-12 15:02:00,1804.01,1801.01,-0.4,Basket TP,20260802,2
37,BUY,2026-07-12 13:05:00,2026-07-12 15:02:00,1794.01,1801.01,0.6000000000000001,Basket TP,20260802,2
38,BUY,2026-07-13 05:10:00,2026-07-13 05:57:00,1802.42,1804.42,0.01,Basket TP,20260802,1
39,BUY,2026-07-13 06:00:00,2026-07-13 06:34:00,1803.64,1805.64,0.01,Basket TP,20260803,1
40,BUY,2026-07-13 10:20:00,2026-07-13 10:25:00,1789.13,1791.13,0.01,Basket TP,20260802,1
41,BUY,2026-07-13 10:40:00,2026-07-13 11:22:00,1779.77,1781.7699999999998,0.009999999999997728,Basket TP,20260802,1
42,SELL,2026-07-13 14:40:00,2026-07-13 14:41:00,1788.14,1786.14,0.1,Basket TP,20260802,1
43,SELL,2026-07-13 14:42:00,2026-07-13 15:09:00,1785.66,1783.6600000000003,0.09999999999997727,Basket TP,20260802,1
44,BUY,2026-07-13 17:15:00,2026-07-13 17:19:00,1780.74,1782.74,0.1,Basket TP,20260802,1
45,SELL,2026-07-14 07:20:00,2026-07-14 09:19:00,1775.44,1778.44,-0.4,Basket TP,20260802,2
46,SELL,2026-07-14 07:55:00,2026-07-14 09:19:00,1785.44,1778.44,0.6000000000000001,Basket TP,20260802,2
47,BUY,2026-07-15 00:25:00,2026-07-15 00:27:00,1864.77,1866.77,0.1,Basket TP,20260802,1
48,BUY,2026-07-15 00:28:00,2026-07-15 00:55:00,1867.59,1869.5900000000001,0.10000000000002274,Basket TP,20260802,1
