open_date,max_layers,basket_count
2018-12-23,1,1
2019-07-18,1,1
2020-01-17,13,1
2021-07-05,2,2
2021-07-08,24,1
2021-07-15,2,1
2021-07-18,2,1
2021-07-21,218,1
2021-09-23,9,1
2021-09-27,22,1
2021-09-30,8,1
2021-10-07,1,1
2021-10-10,1,1
2021-10-12,1,1
2021-10-18,1,1
2021-10-19,1,1
2021-10-23,6,1
2021-10-31,1,1
2021-12-02,4,1
2021-12-05,1,1
2021-12-10,5,1
2021-12-13,1,2
2021-12-21,1,1
2021-12-26,1,1
2022-01-10,5,2
2022-01-12,5,1
2022-01-24,1,2
2022-01-25,1,1
2022-01-27,15,1
2022-01-29,5,1
2022-02-03,1,1
2022-02-11,1,2
2022-02-15,3,1
2022-02-17,3,1
2022-02-23,6,1
2022-02-25,1,1
2022-03-08,3,1
2022-03-14,1,1
2022-03-21,5,1
2022-03-26,1,1
2022-04-01,17,1
2022-04-11,1,1
2022-04-13,1,1
2022-04-17,2,1
2022-04-18,2,1
2022-04-19,17,1
2022-04-27,3,1
2022-04-28,2,1
2022-05-02,1,1
2022-05-04,6,1
2022-05-13,7,1
2022-05-16,1,1
2022-05-20,2,1
2022-05-23,1,1
2022-05-25,1,1
2022-05-30,5,2
2022-06-05,2,1
2022-06-10,1,1
2022-06-20,1,2
2022-06-21,1,1
2022-06-24,15,1
2022-06-28,2,1
2022-07-01,2,1
2022-07-04,1,1
2022-07-05,9,1
2022-07-10,19,1
2022-07-21,2,2
2022-07-23,1,1
2022-07-25,2,1
2022-07-27,33,2
2022-08-07,1,1
2022-08-10,4,1
2022-08-15,1,1
2022-08-23,2,1
2022-08-30,13,1
2022-09-08,9,1
2022-09-12,1,1
2022-09-13,2,1
2022-09-14,1,1
2022-09-18,1,1
2022-09-20,1,1
2022-09-22,5,1
2022-09-23,4,1
2022-09-29,3,1
2022-10-10,2,1
2022-10-13,1,1
2022-10-17,3,1
2022-10-19,3,1
2022-11-01,2,1
2022-11-11,1,1
2022-11-14,3,1
2022-11-15,1,1
2022-11-20,1,1
2022-11-23,11,1
2022-12-03,4,1
2022-12-06,7,1
2022-12-15,14,1
2023-01-07,1,1
2023-01-12,1,1
2023-01-16,3,1
2023-01-19,4,1
2023-01-24,2,1
2023-01-25,11,1
2023-02-05,7,1
2023-02-09,19,1
2023-02-17,1,1
2023-02-20,1,1
2023-02-21,9,1
2023-03-05,1,1
2023-03-11,1,1
2023-03-12,68,1
2023-05-20,2,1
2023-05-24,7,1
2023-05-30,1,1
2023-05-31,3,1
2023-06-04,2,1
2023-06-05,2,1
2023-06-07,6,1
2023-06-12,1,1
2023-06-16,2,1
2023-06-17,5,1
2023-07-05,5,1
2023-07-10,1,1
2023-07-15,1,1
2023-07-27,2,1
2023-08-02,3,1
2023-08-05,1,1
2023-08-20,2,1
2023-08-24,2,1
2023-08-28,1,1
2023-09-03,1,1
2023-09-12,9,1
2023-09-26,5,1
2023-10-03,17,1
2023-10-27,2,1
2023-10-28,1,1
2023-11-01,2,1
2023-11-03,3,1
2023-11-11,2,1
2023-11-15,1,1
2023-11-19,1,1
2023-11-20,2,1
2023-11-26,1,1
2023-12-05,1,1
2023-12-11,1,1
2023-12-18,1,1
2023-12-19,5,1
2023-12-23,1,1
2023-12-25,1,1
2024-01-05,4,1
2024-01-13,1,1
2024-01-17,2,1
2024-01-27,7,1
2024-02-02,4,1
2024-02-17,4,1
2024-02-21,9,1
2024-03-01,1,1
2024-03-11,13,1
2024-03-13,1,1
2024-03-14,4,1
2024-03-21,5,3
2024-03-25,1,1
2024-03-27,5,1
2024-04-05,8,1
2024-04-07,4,1
2024-04-09,22,1
2024-04-16,1,1
2024-04-19,1,1
2024-04-21,10,1
2024-04-28,21,1
2024-05-02,1,1
2024-05-03,1,1
2024-05-04,12,1
2024-05-10,3,1
2024-05-14,2,1
2024-05-16,10,1
2024-05-23,5,1
2024-05-24,6,1
2024-05-30,4,2
2024-06-07,1,1
2024-06-13,4,1
2024-06-15,7,1
2024-06-19,15,1
2024-07-07,4,1
2024-07-09,1,1
2024-07-16,1,1
2024-07-21,1,1
2024-07-22,2,1
2024-07-23,1,1
2024-07-26,5,1
2024-07-28,2,1
2024-08-04,1,1
2024-08-09,15,2
2024-08-11,8,1
2024-08-13,11,1
2024-08-30,3,1
2024-09-03,1,1
2024-09-05,1,1
2024-09-07,3,1
2024-09-09,2,1
2024-09-15,1,1
2024-09-16,1,1
2024-09-23,2,1
2024-09-24,2,1
2024-09-25,1,1
2024-09-26,3,1
2024-09-29,10,1
2024-10-07,2,1
2024-10-12,35,1
2024-10-27,1,1
2024-11-02,1,1
2024-11-11,1,1
2024-11-13,1,1
2024-11-15,1,1
2024-11-25,6,1
2024-11-27,3,1
2024-12-06,1,1
2024-12-08,3,1
2024-12-09,11,1
2024-12-15,1,1
2024-12-21,5,1
2024-12-25,7,1
2024-12-30,1,1
2024-12-31,8,1
2025-01-06,3,1
2025-01-08,73,1
2025-01-17,2,1
2025-01-24,7,1
2025-02-04,3,1
2025-02-06,2,1
2025-03-01,3,1
2025-03-06,5,2
2025-03-09,1,1
2025-03-11,1,1
2025-03-15,3,1
2025-03-18,1,1
2025-03-19,14,1
2025-03-21,1,1
2025-04-02,1,1
2025-04-06,1,1
2025-04-10,7,1
2025-04-13,8,1
2025-04-19,3,1
2025-04-24,1,1
2025-04-28,1,1
2025-04-30,7,1
2025-05-02,1,1
2025-05-08,3,1
2025-05-13,1,2
2025-05-17,11,1
2025-05-21,2,1
2025-05-24,1,1
2025-05-30,5,1
2025-06-02,1,1
2025-06-03,4,1
2025-06-07,2,1
2025-06-08,3,1
2025-06-12,6,1
2025-06-20,1,1
2025-06-24,3,1
2025-06-27,3,1
2025-07-04,8,1
2025-07-13,4,1
2025-07-15,4,1
2025-07-23,16,1
2025-07-25,1,1
2025-07-29,7,1
2025-07-30,1,1
2025-08-01,5,1
2025-08-04,2,1
2025-08-12,1,1
2025-08-15,1,1
2025-08-16,1,1
2025-08-25,4,1
2025-08-26,10,1
2025-08-31,5,1
2025-09-02,1,2
2025-09-14,1,1
2025-09-15,4,3
2025-09-21,2,1
2025-09-29,1,1
2025-10-01,1,1
2025-10-06,1,1
2025-10-08,6,2
2025-10-13,4,2
2025-10-15,4,1
2025-10-20,1,1
2025-10-23,3,1
2025-11-02,2,1
2025-11-06,3,1
2025-11-08,1,1
2025-11-10,4,1
2025-11-19,5,1
2025-11-23,8,1
2025-11-28,2,1
2025-12-06,6,1
2025-12-11,8,1
2025-12-12,4,1
2025-12-13,2,1
2025-12-15,1,1
2025-12-18,1,1
2025-12-19,12,2
2026-01-03,1,1
2026-01-08,16,1
2026-01-15,1,1
2026-01-17,2,1
2026-01-26,1,1
2026-02-03,2,1
2026-02-07,15,1
2026-02-08,3,1
2026-02-10,4,1
2026-02-14,6,1
2026-02-18,1,1
2026-02-24,3,1
2026-02-25,1,1
2026-02-27,2,1
2026-03-01,13,1
2026-03-12,1,1
2026-03-19,1,1
2026-03-24,6,1
2026-03-28,5,1
2026-03-30,4,1
2026-04-05,1,1
2026-04-07,2,1
2026-04-09,1,1
2026-04-12,5,1
2026-04-17,1,1
2026-04-19,2,2
2026-04-23,6,1
2026-05-01,5,1
2026-05-07,10,1
2026-05-13,3,1
2026-05-19,1,1
2026-05-24,8,1
2026-05-29,1,1
2026-05-31,2,1
2026-06-02,2,1
2026-06-07,14,1
2026-06-12,2,1
2026-06-17,4,1
2026-06-25,1,1
2026-06-28,1,1
2026-07-02,5,1
2026-07-05,2,1
2026-07-07,1,2
2026-07-12,2,1
2026-07-17,9,1
2026-07-24,5,1
2026-07-26,12,1
2026-08-02,1,2
2026-08-03,2,2
2026-08-12,1,1
2026-08-18,1,1
