open_date,max_layers,basket_count
2026-06-12,2,1
2026-06-13,3,1
2026-06-15,18,2
2026-06-17,1,1
2026-06-18,8,2
2026-06-20,3,1
2026-06-22,24,3
2026-07-04,1,1
2026-07-05,3,1
2026-07-06,4,3
2026-07-07,3,2
2026-07-08,7,1
2026-07-11,1,1
2026-07-12,4,1
2026-07-13,4,5
2026-07-15,1,3
2026-07-16,12,1
2026-07-20,3,1
2026-07-21,2,2
2026-07-23,8,1
2026-07-27,1,2
2026-07-28,9,2
2026-07-29,3,2
2026-07-30,4,1
2026-08-01,1,1
2026-08-02,5,1
2026-08-03,10,1
2026-08-11,3,1
2026-08-12,5,1
2026-08-13,1,1
2026-08-14,1,1
