ticket,type,entry_time,exit_time,entry_price,exit_price,pnl,exit_reason,magic,basket_layers
1,SELL,2014-01-22 07:00:00,2014-01-23 07:00:00,1242.821,1236.939,5.521999999999834,Basket TP,20260607,1
2,BUY,2014-03-30 07:00:00,2014-03-31 07:00:00,1293.855,1295.907,1.6919999999999074,Basket TP,20260607,1
3,BUY,2014-04-03 07:00:00,2014-04-04 07:00:00,1290.69,1291.69,0.64,Basket TP,20260607,1
4,SELL,2015-08-25 07:00:00,2015-08-26 07:00:00,1153.61,1146.048,7.201999999999898,Basket TP,20260607,1
5,SELL,2016-01-10 07:00:00,2016-01-11 07:00:00,1103.761,1102.761,0.64,Basket TP,20260607,1
6,BUY,2016-06-01 07:00:00,2016-06-03 07:00:00,1216.635,1215.135,-1.8599999999999999,Basket TP,20260607,2
7,BUY,2016-06-02 07:00:00,2016-06-03 07:00:00,1211.635,1215.135,3.1400000000000006,Basket TP,20260607,2
8,SELL,2017-01-19 07:00:00,2017-01-20 07:00:00,1202.902,1201.902,0.64,Basket TP,20260607,1
9,SELL,2017-02-10 07:00:00,2017-02-13 07:00:00,1226.309,1228.4689999999998,-2.5199999999998544,Basket TP,20260607,2
10,SELL,2017-02-12 07:00:00,2017-02-13 07:00:00,1232.629,1228.4689999999998,3.800000000000082,Basket TP,20260607,2
11,BUY,2017-03-03 00:00:00,2017-03-04 03:00:00,1241.407,1234.907,-13.72,Basket TP,20260607,4
12,BUY,2017-03-03 01:00:00,2017-03-04 03:00:00,1236.407,1234.907,-3.7199999999999998,Basket TP,20260607,4
13,BUY,2017-03-03 01:00:00,2017-03-04 03:00:00,1231.407,1234.907,6.280000000000001,Basket TP,20260607,4
14,BUY,2017-03-03 16:00:00,2017-03-04 03:00:00,1226.407,1234.907,16.28,Basket TP,20260607,4
15,SELL,2017-03-13 16:00:00,2017-03-13 17:00:00,1209.432,1208.432,1.28,Basket TP,20260607,1
16,SELL,2017-04-27 19:30:00,2017-04-27 20:00:00,1264.998,1263.998,1.28,Basket TP,20260606,1
17,SELL,2017-04-27 20:55:00,2017-04-27 21:00:00,1265.827,1264.827,1.28,Basket TP,20260606,1
18,SELL,2017-04-27 22:31:00,2017-04-28 20:37:00,1263.288,1264.788,-3.7199999999999998,Basket TP,20260606,2
19,SELL,2017-04-28 20:13:00,2017-04-28 20:37:00,1268.288,1264.788,6.280000000000001,Basket TP,20260606,2
20,SELL,2017-04-28 23:18:00,2017-04-29 00:03:00,1267.696,1266.696,1.28,Basket TP,20260606,1
21,SELL,2017-04-29 03:57:00,2017-05-01 08:54:00,1268.171,1267.171,0.64,Basket TP,20260606,1
22,SELL,2017-05-01 15:28:00,2017-05-01 22:46:00,1262.63,1265.2966666666666,-3.026666666666515,Basket TP,20260606,2
23,SELL,2017-05-01 22:10:00,2017-05-01 22:46:00,1267.63,1265.2966666666666,3.94666666666697,Basket TP,20260606,2
24,SELL,2017-05-02 02:25:00,2017-05-02 04:58:00,1256.366,1255.366,0.64,Basket TP,20260606,1
25,SELL,2017-05-02 08:02:00,2017-05-02 13:45:00,1256.461,1255.461,0.64,Basket TP,20260606,1
26,SELL,2017-05-02 17:47:00,2017-05-02 19:59:00,1255.842,1254.842,1.28,Basket TP,20260606,1
27,SELL,2017-05-02 22:02:00,2017-05-02 22:26:00,1255.368,1254.368,1.28,Basket TP,20260606,1
28,SELL,2017-05-03 01:29:00,2017-05-03 01:38:00,1256.326,1255.326,1.28,Basket TP,20260606,1
29,SELL,2017-05-03 02:42:00,2017-05-03 14:06:00,1255.969,1254.969,0.64,Basket TP,20260606,1
30,SELL,2017-05-03 17:33:00,2017-05-03 20:26:00,1253.966,1252.966,1.28,Basket TP,20260606,1
31,SELL,2017-05-03 20:27:00,2017-05-03 20:30:00,1252.962,1251.962,1.28,Basket TP,20260607,1
32,SELL,2017-05-03 22:54:00,2017-05-03 23:10:00,1249.745,1248.745,1.28,Basket TP,20260606,1
33,SELL,2017-05-04 00:21:00,2017-05-04 00:50:00,1248.949,1247.949,1.28,Basket TP,20260606,1
34,SELL,2017-05-04 01:58:00,2017-05-04 02:00:00,1249.37,1248.37,1.28,Basket TP,20260606,1
35,SELL,2017-05-04 02:01:00,2017-05-04 02:05:00,1249.318,1248.318,0.64,Basket TP,20260607,1
36,SELL,2017-05-04 04:59:00,2017-05-04 13:56:00,1237.356,1236.356,0.64,Basket TP,20260606,1
37,SELL,2017-05-04 15:59:00,2017-05-04 18:01:00,1235.974,1234.974,0.64,Basket TP,20260606,1
38,SELL,2017-05-04 21:58:00,2017-05-04 23:37:00,1228.571,1227.571,1.28,Basket TP,20260606,1
39,SELL,2017-05-05 00:18:00,2017-05-05 00:49:00,1231.11,1230.11,1.28,Basket TP,20260606,1
40,SELL,2017-05-05 02:59:00,2017-05-05 12:19:00,1226.918,1231.2816363636364,-4.723636363636488,Basket TP,20260606,2
41,SELL,2017-05-05 12:15:00,2017-05-05 12:19:00,1231.918,1231.2816363636364,2.7636363636351238,Basket TP,20260606,2
42,SELL,2017-05-05 12:20:00,2017-05-05 20:30:00,1230.946,1229.946,6.4,Basket TP,20260607,1
43,SELL,2017-05-05 22:39:00,2017-05-05 22:57:00,1229.397,1228.397,1.28,Basket TP,20260606,1
